year,target_spklu,projected_kblbb,source,confidence,notes
2025,5810,98764,ESDM Kepmen/RUPTL-derived,medium,"Target requires final verification against official document."
2026,9633,163764,ESDM Kepmen/RUPTL-derived,medium,"Target requires final verification against official document."
2027,14339,243764,ESDM Kepmen/RUPTL-derived,medium,"Target requires final verification against official document."
2028,26251,393764,ESDM Kepmen/RUPTL-derived,medium,"Target requires final verification against official document."
2029,42251,633764,ESDM Kepmen/RUPTL-derived,medium,"Target requires final verification against official document."
2030,62918,943764,ESDM Kepmen/RUPTL-derived,medium,"Target requires final verification against official document."
